grid_lat,grid_lon,pcell_cid,pcell_freq,nrcell_cid,nrcell_freq,scell1_cid,scell1_freq,scell2_cid,scell2_freq,scell3_cid,scell3_freq,nrscell1_cid,nrscell1_freq,nrscell2_cid,nrscell2_freq,nrscell3_cid,nrscell3_freq,cell_set_type,mw_cell_num,sub6_cell_num,nr_bandwidth,avail_cell_num,sub6_cell_num,total_avail_sample,avail_sample,avail_sample_ratio,thput_sample_num,thput_sample,thput_sample_ratio,thput_avg,thput_std,thput_0,thput_10,thput_25,thput_50,thput_75,thput_90,thput_100
-86.167,39.767,4,66836,96,176930,96,1100,4,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,5,0.002585315,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,432,66586,311,176930,61,1100,432,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,59,0.030506722,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,432,66836,311,176930,61,1100,432,66586,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,69,0.035677353,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,432,66836,698,2078331,432,66586,61,1100,432,5230,None,None,None,None,None,None,LTE+MW,1,0,100,1,3,1934,25,0.012926577,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,432,66836,None,None,432,66586,61,1100,432,5230,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,96,0.049638056,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,96,1100,96,176930,96,66586,96,67086,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,33,0.017063082,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,96,66836,96,176930,96,66586,96,1100,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,3,1934,23,0.011892451,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.767,96,66836,None,None,326,56540,325,56342,324,56144,None,None,None,None,None,None,LTE,0,0,0,1,3,1934,36,0.018614271,110,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7675,389,1100,None,None,389,66586,389,66836,389,5230,None,None,None,None,None,None,LTE,0,0,0,1,4,986,69,0.069979716,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7675,128,1100,103,176930,128,66586,128,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,4,986,4,0.004056795,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7675,389,1100,103,176930,389,66586,389,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,4,986,9,0.009127789,0,0,0,0,0,0,0,0,0,0,0,0
-86.167,39.7675,389,1100,104,176930,389,66586,389,66836,None,None,None,None,None,None,None,None,LTE+Sub6,0,1,5,1,4,986,2,0.002028398,0,0,0,0,0,0,0,0,0,0,0,0
